"","id","freq","text"
"26","184387564868861956",41,"RT @omi66: #ILikeObamacare because I'm tired of using bake sales and car washes as means to pay for a kids cancer treatment."
"27","218346307352395776",41,"RT @MHarrisPerry: Well it's history.  President Obama is the first president to successfully, constitutionally pass landmark health care ..."
"28","184361944415866880",40,"Decent health insurance should not be just a perk for the rich. http://t.co/fyEAzqcP #ILikeObamacare"
"29","218577595892117505",39,"RT @billmaher: Its not a tax on healthcare its a tax on freeloaders who weren't paying but using; wld be like calling a speeding ticket  ..."
"30","219104469785395200",39,"FACT: Thanks to health care reform, 105 million Americans no longer have lifetime limits on their insurance coverage. #progress"
"31","265502487535026176",38,"President Obama: ""I said that I'd end the war in Iraq, and I ended it. I said I'd pass health care reform, and I passed it."" #Forward"
"32","218347580344639489",37,"RT @thinkprogress: THESE FIVE PEOPLE just saved health care for 32 million Americans http://t.co/lYIQqEk3"
"33","217267769647964160",36,"RT @BorowitzReport: Remember, no matter what the Supreme Court justices decide about government healthcare, they'll still have it. #comf ..."
"34","218429402453770240",36,"RT @whitehouse: How does the Affordable Care Act benefit Americans?  Check out this infographic &amp; find out: #ACA http://t.co/XACoaGL ..."
"35","218527676674215937",36,"RT @davidaxelrod: Mitt offers no details on what HE would do after healthcare repeal.  But his camp offers hourly updates on how much th ..."
"36","219563832027262977",36,"""Under Obamacare, to qualify for benefits you will be forced to smoke medical marijuana until you are gay."" -- Republican talking point"
"37","183270659428855808",34,"17 million American children with pre-existing conditions can no longer be denied coverage. #ACA #ILikeObamacare"
"38","219250025514012674",34,"A skeptic comes around on the Affordable Care Act: The very thing that I criticized is what is going to save my life. http://t.co/FqlhO1ao"
"39","183582935985823744",33,"Heres to two years of better health care for millions of families. Stand with the President and say #ILikeObamacare: http://t.co/6d2KJvnf"
"40","218500448620003328",33,"President Obama fought for health care reform because it was the right thing to do. Stand with him: http://t.co/RWUGfp42"
"41","261527693772853248",33,"Obama: I dont think any male politician should be making health care decisions for women."
"42","264769889221373952",33,"RT @davidaxelrod: Moving intro in Mentor OH from dad whose daughter's life-saving bone marrow transplant was covered, tnx to Obamacare.  ..."
"43","215912678978367489",32,"Thanks to health care reform, 12.8 million Americans will receive rebate checks from health insurers this summer totaling $1.1 billion."
"44","217713004756733952",32,"Barack Obama is not a radical brown-skinned antiwar socialist who gives away free health care. You're thinking of Jesus."
"45","218356908371873792",32,"RT @nadiaoxford: Wait--Republicans who are tweeting #movingtocanada--you DO know we have fully gov't-controlled health care and gay marr ..."
"46","218378521335181312",32,"President Obama: Because of the Affordable Care Act, young adults under the age of 26 are able to stay on their parents health care plans."
"47","219980999218561025",32,"$4,200: The average savings for a senior on Medicare thanks to the Affordable Care Act: http://t.co/zFiGeWTV #ACA http://t.co/Eo9v2PlY"
"48","183359644226433024",31,"$1 billion: Approximate added health care costs women pay each year due to gender discrimination. http://t.co/rNcjxtA7"
"49","218373539181498369",31,"Mitt Romney appeared baffled. Like, how did I get on the other side of this issue when I once led on health care? Must be hard being Mitt!"
"50","218733501200084992",31,"RT @politifact: Romney said 'Obamacare' adds trillions to the deficit. False. http://t.co/TssFPrTI"
